Band Number,Disposition,Species,Common Name,Age,Sex,Month,Day,Year,Bird Status,Bander ID,Location,How Captured,Wing Chord,Bird Weight,Tarsus Length,Culmen Length,Bill Width,Bill Height,Transmitter Affixed,Cloacal Swab,Blood Sample Taken,AI Sample #,Mercury Sample ID,Capture Time,Transmitter ID,Aux Marker Type,Season
2197-85356,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,405,1992,69.91,49.46,22.5,23.38,Y,N,N,NA,NA,14:00,182102,80F,Fall
2197-85357,1,GWFG,Greater White-fronted Goose,HY,F,9,24,2019,300,AM,DELNWR,Rocket Net,406,1970,70.03,48.03,23.2,23.43,N,N,N,NA,NA,14:00,,,Fall
2197-85358,1,GWFG,Greater White-fronted Goose,HY,M,9,24,2019,300,AM,DELNWR,Rocket Net,394,1892,74.43,51.07,22.19,24,N,N,N,NA,NA,14:00,,,Fall
2197-85359,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,406,2090,73.26,48.94,24.9,23.74,Y,N,N,NA,NA,14:00,192592,80F,Fall
2197-85360,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,443,2336,76.45,52.3,23.91,24.62,N,N,N,NA,NA,14:00,,,Fall
2197-85361,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,409,1902,73.82,52.73,23.05,25.31,N,N,N,NA,NA,14:00,,,Fall
2197-85362,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,446,2528,76.59,54.85,25.31,24.84,N,N,N,NA,NA,14:00,,,Fall
2197-85363,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,443,2276,73.76,50.12,25.04,25.11,N,N,N,NA,NA,14:00,,,Fall
2197-85364,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,441,2184,75.48,47.41,24.21,24.24,N,N,N,NA,NA,14:00,,,Fall
2197-85365,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,398,1970,70.9,45.7,23.91,23,N,N,N,NA,NA,14:00,,,Fall
2197-85366,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,427,2078,73.71,50.21,25.18,24.88,N,N,N,NA,NA,14:00,,,Fall
2197-85367,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,441,2134,76.56,48.55,23.92,23.24,N,N,N,NA,NA,14:00,,,Fall
2197-85368,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,440,2140,75.73,49.01,25.56,23.83,N,N,N,NA,NA,14:00,,,Fall
2197-85369,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,440,1902,70.69,47.77,23.39,23.79,N,N,N,NA,NA,14:00,,,Fall
2197-85370,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,421,1986,70.26,44.58,23.87,23.21,Y,N,N,NA,NA,14:00,192593,80F,Fall
2197-85371,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,400,1982,70.73,50.06,22.31,21.58,Y,N,N,NA,NA,14:00,180951,80F,Fall
2197-85372,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,380,AM,DELNWR,Rocket Net,426,2142,74.99,49.52,23.64,23.15,Y,N,N,NA,NA,14:00,180933,80F,Fall
2197-85373,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,408,1770,67.16,46.68,21.75,22.3,N,N,N,NA,NA,14:00,,,Fall
2197-85374,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,430,1914,72.36,49.86,24.62,24.63,N,N,N,NA,NA,14:00,,,Fall
2197-85375,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,400,2068,75.67,52.22,23.81,23.99,N,N,N,NA,NA,14:00,,,Fall
2197-85376,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,405,2068,68.76,46.88,23.29,21.16,N,N,N,NA,NA,14:00,,,Fall
2197-85377,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,400,1980,70.09,51.18,24.76,25.17,N,N,N,NA,NA,14:00,,,Fall
2197-85378,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,436,2356,73.72,49.9,26.03,26.15,N,N,N,NA,NA,14:00,,,Fall
2197-85379,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,451,2340,75.24,53.42,25.41,26.54,N,N,N,NA,NA,14:00,,,Fall
2197-85380,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,436,1922,71.7,50.89,24.04,24.45,N,N,N,NA,NA,14:00,,,Fall
2197-85381,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85382,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85383,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85384,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85385,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85386,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85387,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85388,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85389,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85390,1,GWFG,Greater White-fronted Goose,HY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85391,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85392,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85393,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85394,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85395,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85396,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85397,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85398,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85399,1,GWFG,Greater White-fronted Goose,AHY,F,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85400,1,GWFG,Greater White-fronted Goose,AHY,M,9,24,2019,300,AM,DELNWR,Rocket Net,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85401,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,418,2074,73.04,51.11,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85402,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,410,2052,70.45,45.55,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85403,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1828,65.14,46.07,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85404,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,403,1750,65.9,47.92,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85405,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,405,1846,71.45,51.07,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85406,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,395,1766,68.42,42.74,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85407,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,410,1704,68,46.05,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85408,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,411,1802,69.97,49.39,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85409,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,442,2054,74.03,52.07,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85410,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,390,1804,64.69,45.11,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85411,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,425,1946,71.23,50.19,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85412,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,393,1660,64.16,45.81,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85413,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,433,2114,73.27,49.13,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85414,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,412,2070,72.76,46.6,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85415,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1848,67.76,43.6,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85416,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,431,2236,45.83,52.83,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85417,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,400,1944,71.96,49.86,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85418,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,404,2018,71.11,46.88,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85419,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,439,2520,78.22,55.58,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85420,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,426,1788,67.36,46.36,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85421,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,396,NA,68.36,52.21,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85422,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,403,1868,67.22,46.03,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85423,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,406,1982,73.98,49.11,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85424,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,389,1920,69.66,49.73,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85425,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,423,1930,69.29,47.55,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85426,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,402,2056,67.15,45.65,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85427,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,406,1992,19.93,48.32,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85428,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,412,1876,68.09,46.51,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85429,1,GWFG,Greater White-fronted Goose,AHY,F,9,28,2019,300,AM,SACNWR,Rocket Net,404,1892,66.33,49.9,NA,NA,N,N,N,NA,NA,14:00,,,Fall
2197-85430,1,GWFG,Greater White-fronted Goose,AHY,M,9,28,2019,300,AM,SACNWR,Rocket Net,420,2332,74.26,53.71,NA,NA,N,N,N,NA,NA,14:00,,,Fall
